failTime,status,tempC
401,1,85
428,1,85
695,1,85
725,1,85
738,1,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
1000,0,85
171,1,105
187,1,105
189,1,105
266,1,105
275,1,105
285,1,105
301,1,105
302,1,105
305,1,105
316,1,105
317,1,105
324,1,105
349,1,105
350,1,105
386,1,105
405,1,105
480,1,105
493,1,105
530,1,105
534,1,105
536,1,105
567,1,105
589,1,105
598,1,105
599,1,105
614,1,105
620,1,105
650,1,105
668,1,105
685,1,105
718,1,105
795,1,105
854,1,105
917,1,105
926,1,105
1000,0,105
1000,0,105
1000,0,105
1000,0,105
1000,0,105
1000,0,105
1000,0,105
1000,0,105
1000,0,105
1000,0,105
1000,0,105
1000,0,105
1000,0,105
1000,0,105
1000,0,105
24,1,125
42,1,125
92,1,125
93,1,125
141,1,125
142,1,125
143,1,125
159,1,125
181,1,125
188,1,125
194,1,125
199,1,125
207,1,125
213,1,125
243,1,125
256,1,125
259,1,125
290,1,125
294,1,125
305,1,125
392,1,125
454,1,125
502,1,125
696,1,125
1000,0,125
