partID,failTime,OOS_Reason
1,28.361053668201876,Keyboard
2,72.30785362955315,Keyboard
3,71.60836165968124,Keyboard
4,40.11659121324163,Keyboard
5,32.48963331689815,Fan
6,30.786736503246484,Battery
7,56.02536037013045,Keyboard
8,16.694275375748486,Keyboard
9,49.6150108880282,Keyboard
10,53.91033594058343,Fan
11,38.288926824260635,Keyboard
12,34.95566455654673,Fan
13,48.3353867547167,Fan
14,30.505264369862523,Keyboard
15,45.51218822598457,Battery
16,63.629617666201476,Keyboard
17,56.9961493719011,Keyboard
18,35.83510988982973,Fan
19,43.88831786623581,Keyboard
20,48.27276137053395,Fan
21,40.963844396173954,Battery
22,54.34477162326729,Keyboard
23,26.379822141253374,Fan
24,0.04405062645673752,Battery
25,56.16366151890377,Keyboard
26,37.62223409109845,Keyboard
27,18.141465644837847,Keyboard
28,14.598729039955927,Fan
29,67.41538678839925,Keyboard
30,55.106114728136824,Keyboard
31,70.15444022478451,Keyboard
32,49.42746348171326,Keyboard
33,39.76048735090323,Keyboard
34,21.882934607923715,Fan
35,28.066046167723123,Keyboard
36,21.093320126084784,Keyboard
37,59.040337212265364,Keyboard
38,52.08567224939717,Keyboard
39,57.03542995819711,Keyboard
40,43.62327706684434,Keyboard
41,23.73087565554028,Keyboard
42,52.15727002641026,Keyboard
43,25.682328597425972,Fan
44,55.230395614111494,Keyboard
45,46.57406532826423,Keyboard
46,76.34027774915336,Keyboard
47,43.92914720334871,Fan
48,49.67610403052357,Keyboard
49,70.06092236293486,Keyboard
50,55.25273504402402,Keyboard
51,13.22584333049387,Keyboard
52,48.603201832467796,Keyboard
53,39.294055816555804,Fan
54,59.96692266435459,Keyboard
55,41.49936669293704,Fan
56,40.95234304908942,Keyboard
57,57.60554082785836,Keyboard
58,27.34549163498503,Keyboard
59,69.81921212331807,Keyboard
60,39.2339805707989,Fan
61,25.680610895438562,Keyboard
62,56.33159813861306,Keyboard
63,38.102139363968654,Keyboard
64,54.20701858145011,Keyboard
65,42.58457777433508,Keyboard
66,84.9355787849221,Keyboard
67,2.1369950845837593,Battery
68,77.33341088295406,Keyboard
69,29.50673661471267,Fan
70,86.84364887621145,Keyboard
71,12.429988056748469,Fan
72,54.27182406173417,Fan
73,23.133304613305157,Keyboard
74,34.41070750353261,Fan
75,22.925630877260804,Fan
76,24.119993811991264,Keyboard
77,75.25676086559574,Keyboard
78,58.7409269037484,Keyboard
79,18.26669011119163,Keyboard
80,58.89952421212886,Keyboard
81,32.39746580946393,Fan
82,30.422930102341375,Keyboard
83,48.984032902467185,Keyboard
84,49.43926015064532,Keyboard
85,54.70429355535184,Keyboard
86,40.25324539436084,Keyboard
